index,Android,Visual Studio Code,React,Microsoft,Spotify,Trivago,os_min,os_max,cs_min,cs_max
0,0.187395,0.185185,0.234375,0.247608,0.120231,0.032967,0.185185,0.234375,0.032967,0.247608
0.01,0.199665,0.240741,0.234375,0.285368,0.138728,0.0659341,0.199665,0.240741,0.0659341,0.285368
0.02,0.217513,0.283951,0.234375,0.304099,0.146243,0.0906593,0.217513,0.283951,0.0906593,0.304099
0.03,0.231456,0.290123,0.234375,0.318222,0.148555,0.0961538,0.231456,0.290123,0.0961538,0.318222
0.04,0.234244,0.290123,0.234375,0.335121,0.149133,0.142857,0.234244,0.290123,0.142857,0.335121
0.05,0.237033,0.290123,0.25,0.344123,0.152601,0.142857,0.237033,0.290123,0.142857,0.344123
0.06,0.247072,0.290123,0.25,0.34946,0.15896,0.142857,0.247072,0.290123,0.142857,0.34946
0.07,0.255996,0.302469,0.25,0.357976,0.160116,0.142857,0.25,0.302469,0.142857,0.357976
0.08,0.257111,0.302469,0.265625,0.363016,0.161272,0.142857,0.257111,0.302469,0.142857,0.363016
0.09,0.257111,0.308642,0.265625,0.366547,0.16185,0.142857,0.257111,0.308642,0.142857,0.366547
0.1,0.2599,0.308642,0.265625,0.375387,0.163584,0.142857,0.2599,0.308642,0.142857,0.375387
0.11,0.2599,0.308642,0.265625,0.380966,0.164162,0.142857,0.2599,0.308642,0.142857,0.380966
0.12,0.263246,0.308642,0.265625,0.387085,0.166474,0.145604,0.263246,0.308642,0.145604,0.387085
0.13,0.26715,0.308642,0.265625,0.395467,0.168208,0.148352,0.265625,0.308642,0.148352,0.395467
0.14,0.268265,0.314815,0.265625,0.398917,0.17341,0.148352,0.265625,0.314815,0.148352,0.398917
0.15,0.273285,0.314815,0.265625,0.406867,0.176879,0.151099,0.265625,0.314815,0.151099,0.406867
0.16,0.273285,0.320988,0.28125,0.413282,0.176879,0.153846,0.273285,0.320988,0.153846,0.413282
0.17,0.273843,0.32716,0.28125,0.420155,0.177457,0.156593,0.273843,0.32716,0.156593,0.420155
0.18,0.2744,0.32716,0.28125,0.425869,0.177457,0.159341,0.2744,0.32716,0.159341,0.425869
0.19,0.277747,0.333333,0.296875,0.431663,0.177457,0.167582,0.277747,0.333333,0.167582,0.431663
0.2,0.278305,0.333333,0.296875,0.438779,0.177457,0.17033,0.278305,0.333333,0.17033,0.438779
0.21,0.287228,0.333333,0.296875,0.442606,0.179191,0.173077,0.287228,0.333333,0.173077,0.442606
0.22,0.295036,0.333333,0.296875,0.446325,0.181503,0.173077,0.295036,0.333333,0.173077,0.446325
0.23,0.297825,0.339506,0.296875,0.45088,0.181503,0.173077,0.296875,0.339506,0.173077,0.45088
0.24,0.297825,0.345679,0.296875,0.454465,0.183237,0.175824,0.296875,0.345679,0.175824,0.454465
0.25,0.302287,0.345679,0.296875,0.459505,0.184971,0.175824,0.296875,0.345679,0.175824,0.459505
0.26,0.307864,0.345679,0.296875,0.463332,0.184971,0.175824,0.296875,0.345679,0.175824,0.463332
0.27,0.310095,0.345679,0.3125,0.468749,0.184971,0.178571,0.310095,0.345679,0.178571,0.468749
0.28,0.319018,0.345679,0.3125,0.474733,0.186127,0.178571,0.3125,0.345679,0.178571,0.474733
0.29,0.329057,0.351852,0.3125,0.478721,0.186705,0.18956,0.3125,0.351852,0.186705,0.478721
0.3,0.333519,0.376543,0.328125,0.48643,0.187861,0.18956,0.328125,0.376543,0.187861,0.48643
0.31,0.33575,0.419753,0.34375,0.50066,0.190751,0.192308,0.33575,0.419753,0.190751,0.50066
0.32,0.339654,0.419753,0.34375,0.512034,0.191329,0.192308,0.339654,0.419753,0.191329,0.512034
0.33,0.341885,0.425926,0.359375,0.520578,0.192486,0.197802,0.341885,0.425926,0.192486,0.520578
0.34,0.346905,0.425926,0.375,0.529229,0.195376,0.200549,0.346905,0.425926,0.195376,0.529229
0.35,0.354713,0.438272,0.375,0.535321,0.19711,0.203297,0.354713,0.438272,0.19711,0.535321
0.36,0.361405,0.438272,0.390625,0.544296,0.19711,0.203297,0.361405,0.438272,0.19711,0.544296
0.37,0.37256,0.444444,0.390625,0.54947,0.197688,0.206044,0.37256,0.444444,0.197688,0.54947
0.38,0.376464,0.444444,0.40625,0.555481,0.197688,0.211538,0.376464,0.444444,0.197688,0.555481
0.39,0.387619,0.450617,0.421875,0.56203,0.204046,0.211538,0.387619,0.450617,0.204046,0.56203
0.4,0.393196,0.450617,0.421875,0.570951,0.206358,0.211538,0.393196,0.450617,0.206358,0.570951
0.41,0.398215,0.45679,0.421875,0.579872,0.210405,0.211538,0.398215,0.45679,0.210405,0.579872
0.42,0.402119,0.45679,0.421875,0.593591,0.212717,0.211538,0.402119,0.45679,0.211538,0.593591
0.43,0.412158,0.45679,0.421875,0.601811,0.217919,0.211538,0.412158,0.45679,0.211538,0.601811
0.44,0.42164,0.462963,0.421875,0.610274,0.220231,0.211538,0.42164,0.462963,0.211538,0.610274
