index,Android,Visual Studio Code,React,Microsoft,Spotify,Trivago
0,0.0117788,0.135387,0.168448,0.00136214,0.0110211,0.0812208
1,0.0142882,0.155303,0.186675,0.00169388,0.0133529,0.0998443
2,0.0165877,0.171686,0.201131,0.00200646,0.015625,0.110695
3,0.0187775,0.185519,0.208045,0.00229651,0.017873,0.121071
4,0.0208476,0.199843,0.218102,0.00257914,0.0199638,0.128698
5,0.0229421,0.213578,0.221245,0.00284952,0.0219161,0.136751
6,0.024826,0.22486,0.22313,0.00308188,0.0237279,0.142018
7,0.0265242,0.238301,0.232558,0.00325723,0.0251859,0.144657
8,0.0281479,0.251153,0.237586,0.00339898,0.0261534,0.145691
9,0.0297817,0.263416,0.239472,0.00353216,0.0268882,0.146044
10,0.0312026,0.270676,0.243243,0.00366971,0.0275427,0.146227
11,0.0326981,0.277053,0.249529,0.00374784,0.0281945,0.14664
12,0.034296,0.285882,0.252043,0.00376598,0.0287206,0.14675
13,0.0359857,0.296478,0.255814,0.0038172,0.0292027,0.147127
14,0.0376596,0.304326,0.264613,0.00388638,0.0296513,0.147431
15,0.0397741,0.314039,0.264613,0.00397218,0.0301764,0.148526
16,0.0419245,0.325223,0.267756,0.0040877,0.0310597,0.150788
17,0.044181,0.334053,0.274041,0.00425025,0.032367,0.155617
18,0.0466732,0.341999,0.277813,0.00448153,0.0341966,0.159911
19,0.0492342,0.353478,0.281584,0.00476377,0.0359704,0.165276
20,0.0520553,0.364564,0.284727,0.00509799,0.0382012,0.170847
21,0.0553242,0.375159,0.285984,0.00549426,0.0408622,0.177197
22,0.0592732,0.384283,0.287241,0.00597695,0.0440649,0.183875
23,0.0630466,0.396645,0.293526,0.00666639,0.0479244,0.192147
24,0.066939,0.408319,0.29604,0.00744406,0.0519341,0.200479
25,0.0706973,0.418719,0.297926,0.00810623,0.055822,0.207997
26,0.0743289,0.425096,0.299811,0.0087354,0.0593467,0.214018
27,0.07806,0.431473,0.302326,0.00931698,0.0627671,0.220271
28,0.0818384,0.439321,0.305468,0.00986845,0.0663181,0.226742
29,0.0856892,0.449819,0.306725,0.010388,0.0697061,0.232508
30,0.0891316,0.456097,0.307354,0.010822,0.0729396,0.236413
31,0.0924872,0.462278,0.32181,0.0111433,0.0753389,0.239514
32,0.0955498,0.468361,0.324324,0.0113944,0.0771517,0.240719
33,0.0983322,0.47307,0.329353,0.011612,0.0785148,0.24123
34,0.100846,0.477877,0.332495,0.011823,0.0797441,0.241339
35,0.103404,0.481899,0.332495,0.0119317,0.0808656,0.24157
36,0.105898,0.485824,0.333124,0.0119841,0.0818387,0.241655
37,0.108323,0.491318,0.333124,0.0120988,0.0827811,0.241959
38,0.111131,0.496223,0.336895,0.0122371,0.08367,0.242422
39,0.113855,0.50054,0.338781,0.0124045,0.0849037,0.243395
40,0.116974,0.503777,0.341295,0.0126197,0.0865145,0.244794
41,0.120277,0.508094,0.342552,0.0129158,0.0888647,0.247227
42,0.123749,0.512214,0.345695,0.0133079,0.0919436,0.250779
43,0.127652,0.51555,0.350094,0.0137834,0.0950387,0.25545
44,0.131839,0.517806,0.357008,0.0143316,0.0985227,0.261349
45,0.136414,0.522515,0.358894,0.0149684,0.102735,0.269998
46,0.14142,0.526145,0.375236,0.0157167,0.107532,0.278635
47,0.146828,0.532032,0.379635,0.0167664,0.112942,0.287198
48,0.152116,0.536545,0.382778,0.0179379,0.118944,0.297684
49,0.157111,0.540567,0.389063,0.0189423,0.124434,0.305506
50,0.16187,0.544688,0.395977,0.0198809,0.12921,0.314239
51,0.166216,0.549102,0.39912,0.0207501,0.133639,0.321733
52,0.170491,0.551555,0.401634,0.0215531,0.137807,0.328277
53,0.174408,0.554204,0.40792,0.022284,0.142163,0.333264
54,0.177946,0.557147,0.413576,0.0228916,0.145958,0.336646
55,0.18121,0.560777,0.413576,0.023342,0.148826,0.33948
56,0.184168,0.565192,0.416719,0.0236782,0.150808,0.341013
57,0.186989,0.567841,0.418605,0.0239552,0.152334,0.341329
58,0.18969,0.569803,0.418605,0.024218,0.153711,0.341451
59,0.192149,0.572844,0.421119,0.024355,0.154991,0.341682
60,0.194425,0.574806,0.424261,0.0244264,0.156286,0.341865
61,0.197025,0.580496,0.427404,0.0245789,0.157421,0.341998
62,0.19958,0.583243,0.428661,0.0247758,0.158611,0.342266
63,0.202231,0.586383,0.432432,0.025004,0.160124,0.342655
64,0.205106,0.588247,0.436832,0.0252965,0.162008,0.344224
65,0.208148,0.591975,0.439346,0.0256873,0.164698,0.347107
66,0.211384,0.596978,0.441232,0.0261957,0.168065,0.349893
67,0.214361,0.600118,0.445003,0.0267963,0.171648,0.353895
68,0.217592,0.604631,0.458831,0.0274846,0.175821,0.359843
69,0.220829,0.610125,0.465745,0.0282668,0.180483,0.368285
70,0.224286,0.614441,0.468259,0.0291674,0.185807,0.375779
71,0.228047,0.617188,0.47203,0.0304145,0.191705,0.384829
72,0.231943,0.620916,0.478316,0.0318033,0.197679,0.393064
73,0.235435,0.622977,0.478316,0.0330437,0.203512,0.400375
74,0.238709,0.624939,0.481458,0.034186,0.208703,0.409072
75,0.24186,0.628274,0.482715,0.0352375,0.21356,0.414376
76,0.244797,0.630923,0.487115,0.0362066,0.217952,0.419059
