index,Android,Visual Studio Code,React,Microsoft,Spotify,Trivago
1,0.00805558,0.104974,0.142049,0.000896249,0.00806608,0.0471
2,0.0805078,0.526244,0.648649,0.00647133,0.0531733,0.213884
3,0.277938,0.910134,0.925833,0.0222255,0.191014,0.394621
4,0.550471,0.98754,0.990572,0.0519963,0.407703,0.625803
5,0.763022,0.997449,0.998114,0.0998057,0.61682,0.779121
6,0.884053,0.999706,1,0.169439,0.769816,0.887103
7,0.945182,0.999902,,0.260327,0.86634,0.944507
8,0.973572,1,,0.365894,0.923058,0.974151
9,0.987235,,,0.476074,0.956146,0.988395
10,0.994002,,,0.58128,0.975586,0.994952
11,0.997206,,,0.674713,0.986826,0.998273
12,0.998827,,,0.753131,0.993219,0.999513
13,0.999534,,,0.816385,0.996536,0.999927
14,0.999803,,,0.865967,0.998229,1
15,0.999923,,,0.903684,0.999075,
16,0.999971,,,0.931739,0.99955,
17,0.999996,,,0.952241,0.999806,
18,1,,,0.966994,0.999937,
19,,,,0.977458,0.999991,
20,,,,0.984783,1,
21,,,,0.989877,,
22,,,,0.993373,,
23,,,,0.995732,,
24,,,,0.997298,,
25,,,,0.998321,,
26,,,,0.998976,,
27,,,,0.999387,,
28,,,,0.999643,,
29,,,,0.999806,,
30,,,,0.999901,,
31,,,,0.999952,,
32,,,,0.999977,,
33,,,,0.99999,,
34,,,,0.999996,,
35,,,,0.999999,,
36,,,,1,,
37,,,,1,,
38,,,,1,,
39,,,,1,,
